AmGreatness/TIPP 9/11 - 9/13	973 LV	3.2	49	46	Trump +3
Bloomberg 10/16 - 10/20	755 LV	4.0	50	49	Trump +1
Bloomberg 9/19 - 9/25	828 LV	3.0	48	50	Harris +2
CNN 9/20 - 9/25	931 LV	3.9	49	49	
Carolina Journal/Cygnal 8/4 - 8/5	600 LV	4.0	47	44	Trump +3
Carolina Journal/Cygnal* 9/15 - 9/16	600 LV	4.0	46	45	Trump +1
Cook Political Report 7/26 - 8/2	403 LV	—	47	48	Harris +1
Cook Political Report 9/19 - 9/25	411 LV	—	49	49	Tie
East Carolina U. 9/23 - 9/26	1005 LV	3.0	49	47	Trump +2
East Carolina U.* 8/26 - 8/28	920 LV	3.0	48	47	Trump +1
Emerson 10/21 - 10/22	950 LV	3.1	50	48	Trump +2
Emerson 9/27 - 9/28	850 LV	3.3	49	48	Trump +1
FOX News 9/20 - 9/24	787 LV	3.5	50	49	Trump +1
Fabrizio/Anzalone 9/11 - 9/17	600 LV	4.0	50	47	Trump +3
High Point University 9/20 - 9/29	589 LV	4.9	48	48	Tie 
High Point/SurveyUSA 10/17 - 10/20	1164 RV	3.7	46	47	Harris +1
InsiderAdvantage 10/19 - 10/20	800 LV	3.5	49	47	Trump +2
InsiderAdvantage 8/29 - 8/31	800 LV	3.5	49	48	Trump +1
InsiderAdvantage 9/29 - 9/30	800 LV	3.0	50	49	Trump +1
Marist 10/17 - 10/22	1226 LV	3.6	50	48	Trump +2
Marist 9/19 - 9/24	1348 LV	3.7	49	49	Tie
NY Times/Siena 8/9 - 8/14	655 LV	—	47	49	Harris +2
NY Times/Siena 9/17 - 9/21	682 LV	—	49	47	Trump +2
Quinnipiac 10/10 - 10/14	1031 LV	3.1	47	50	Harris +3
Quinnipiac 9/25 - 9/29	953 LV	3.2	49	48	Trump +1
Quinnipiac 9/4 - 9/8	940 LV	3.2	47	50	Harris +3
Rasmussen Reports 10/9 - 10/14	1042 LV	3.0	51	46	Trump +5
Rasmussen Reports 9/19 - 9/22	1078 LV	3.0	49	46	Trump +3
The Hill/Emerson 10/5 - 10/8	1000 LV	3.0	49	48	Trump +1
The Hill/Emerson 8/25 - 8/28	775 LV	3.5	49	48	Trump +1
The Hill/Emerson 9/15 - 9/18	1000 LV	3.0	48	49	Harris +1
Tie Atlas Intel 9/20 - 9/25	1173 LV	3.0	48	51	Harris +3
Trafalgar Group (R) 10/10 - 10/13	1085 LV	2.9	47	45	Trump +2
Trafalgar Group (R) 8/6 - 8/8	1000 LV	2.9	49	45	Trump +4
Trafalgar Group (R) 9/11 - 9/12	1094 LV	2.9	48	46	Trump +2
Victory Insights 9/16 - 9/18	600 LV	4.0	49	45	Trump +4
WRAL-TV/SurveyUSA 9/4 - 9/7	900 LV	4.9	46	49	Harris +3
Washington Post 9/25 - 9/29	1001 LV	3.5	50	48	Trump +2
